vendor,plan_code,channel,country_code,status,reason,checked_at,evidence_url,price_kind,amount,currency,cny_estimate,verified_at,price_source
"anthropic","claude-max-20x-monthly","google_play","PH","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=PH","","","","","",""
"anthropic","claude-max-20x-monthly","google_play","SG","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=SG","","","","","",""
"anthropic","claude-max-20x-monthly","google_play","TR","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=TR","","","","","",""
"anthropic","claude-max-20x-monthly","google_play","TW","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=TW","","","","","",""
"anthropic","claude-max-20x-monthly","google_play","US","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=US","","","","","",""
"anthropic","claude-max-20x-monthly","web","AU","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-20x-monthly","web","BR","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-20x-monthly","web","CA","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-20x-monthly","web","GB","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-20x-monthly","web","ID","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-20x-monthly","web","IN","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
